Listing Id,Locality,Property Type,Property Subtype,Price,Fully Equipped Kitchen,Number of Rooms,Area,Garden,Terrace,Swimming Pool,New Building
9508017,1500,house,exceptional property,750000,1.0,4,1384.0,662.0,True,,False
9508018,1180,apartment,apartment,400000,1.0,3,,,,,False
9508057,8490,house,house,379000,1.0,3,1110.0,850.0,True,,False
9508069,9120,apartment,apartment,257500,1.0,1,,,True,,True
9508070,9120,apartment,apartment,306500,1.0,2,,,True,,True
9508072,9120,apartment,apartment,272500,1.0,1,,,True,,True
9508073,9120,apartment,apartment,311500,1.0,2,,,True,,True
9508074,9120,apartment,apartment,272500,1.0,1,,,True,,True
9508075,9120,apartment,apartment,311500,1.0,2,,,True,,True
9508076,9120,apartment,apartment,267500,1.0,1,,,True,,True
9508077,9120,apartment,apartment,287500,1.0,2,,,True,,True
9508078,9120,apartment,apartment,322500,1.0,2,,,True,,True
9508079,9120,apartment,apartment,237500,1.0,1,,,True,,True
9508080,9120,apartment,apartment,306500,1.0,2,,,True,,True
9508081,9120,apartment,apartment,306500,1.0,2,,,True,,True
9508082,9120,apartment,apartment,306500,1.0,2,,,True,,True
9508084,9120,apartment,apartment,222500,1.0,1,,,True,,True
9508086,9120,apartment,apartment,282500,1.0,2,,,True,,True
9508087,9120,apartment,apartment,280000,1.0,2,,,True,,True
9508119,2890,house,house,419000,1.0,4,760.0,,True,,False
9508122,1400,house,apartment block,325000,0.0,3,170.0,,,,False
9508166,8550,house,house,145000,0.0,2,215.0,,True,,False
9508189,6790,apartment,apartment,189900,0.0,2,,,,,False
9508203,9700,house,house,189000,0.0,3,392.0,,True,,False
9508243,1410,house,villa,995000,1.0,5,2060.0,,True,,False
9508266,2000,house,mansion,690000,1.0,5,126.0,45.0,True,,False
9508269,2830,house,house,259000,1.0,2,105.0,,True,,False
9508351,2800,apartment,loft,695000,1.0,3,,,True,,False
9508353,2280,house,house,329000,1.0,3,152.0,,True,,True
9508374,9300,house,house,359000,1.0,4,209.0,120.0,True,,False
9508376,1140,apartment,apartment,175000,1.0,1,,,True,,False
9508404,8470,apartment,apartment,170000,1.0,1,,,,,False
9508417,2000,apartment,loft,1340000,1.0,3,,,True,,False
9508442,1000,apartment,triplex,269000,1.0,2,,,,,False
9508461,1150,house,villa,2150000,1.0,6,400.0,,True,,False
9508467,2600,house,house,945000,0.0,6,800.0,,True,,False
9508548,7700,house,house,185000,1.0,3,125.0,,True,,False
9508569,1050,apartment,penthouse,800000,1.0,4,,,True,,False
9508581,1640,apartment,apartment,525000,1.0,4,,,True,,False
9508652,8930,house,house,200000,1.0,3,65.0,12.0,True,,False
9508662,1440,apartment,ground floor,245000,1.0,2,,,True,,False
9508666,4560,house,chalet,189000,0.0,2,4800.0,1000.0,True,,False
9508692,1000,apartment,apartment,1690000,1.0,4,,,True,,False
9508695,1850,house,house,315000,1.0,1,338.0,,True,,False
9508697,2240,house,villa,650000,0.0,4,5307.0,,True,,False
9508745,9090,apartment,apartment,530000,1.0,3,,,True,,True
9508747,9090,apartment,apartment,415000,1.0,2,,,True,,True
9508753,9820,apartment,apartment,360000,1.0,2,,,True,,True
9508754,9820,apartment,apartment,365000,1.0,2,,,True,,True
9508755,9820,apartment,apartment,355000,1.0,2,,50.0,True,,True
9508756,9820,apartment,apartment,325000,1.0,1,,62.0,True,,True
